open_time,open,high,low,close,volume
1777676100000,78158.22000000,78161.02000000,78158.21000000,78161.02000000,1.62323000
1777676160000,78161.02000000,78162.11000000,78158.21000000,78162.11000000,1.69767000
1777676220000,78162.11000000,78171.28000000,78162.11000000,78171.27000000,0.75311000
1777676280000,78171.27000000,78171.28000000,78154.73000000,78154.74000000,1.10188000
1777676340000,78154.73000000,78154.74000000,78144.70000000,78153.38000000,1.66552000
1777676400000,78153.37000000,78153.38000000,78135.92000000,78135.93000000,2.65052000
1777676460000,78135.92000000,78135.93000000,78100.00000000,78105.69000000,4.29315000
1777676520000,78105.69000000,78130.00000000,78105.69000000,78130.00000000,1.14289000
1777676580000,78129.99000000,78146.80000000,78129.99000000,78146.80000000,1.55812000
1777676640000,78146.79000000,78146.80000000,78146.33000000,78146.34000000,0.69580000
